iter	Passed	Remaining
665	3961	1986
666	3967	1980
667	3973	1974
668	3977	1968
669	3983	1962
670	3989	1956
671	3995	1950
672	4001	1944
673	4007	1938
674	4012	1932
675	4018	1925
676	4023	1919
677	4029	1913
678	4033	1907
679	4039	1901
680	4045	1894
681	4050	1888
682	4056	1882
683	4062	1876
684	4067	1870
685	4073	1864
686	4078	1858
687	4084	1852
688	4090	1846
689	4096	1840
690	4101	1834
691	4107	1828
692	4112	1821
693	4117	1815
694	4123	1809
695	4128	1803
696	4137	1798
697	4143	1792
698	4149	1786
699	4154	1780
700	4161	1774
701	4167	1768
702	4173	1763
703	4179	1757
704	4185	1751
705	4190	1745
706	4196	1739
707	4202	1733
708	4208	1727
709	4213	1721
710	4220	1715
711	4225	1709
712	4231	1703
713	4237	1697
714	4243	1691
715	4248	1685
716	4254	1679
717	4260	1673
718	4265	1667
719	4271	1661
720	4276	1654
721	4282	1648
722	4288	1642
723	4294	1637
724	4299	1630
725	4305	1624
726	4310	1618
727	4316	1612
728	4321	1606
729	4327	1600
730	4332	1594
731	4337	1588
732	4342	1581
733	4347	1575
734	4354	1569
735	4359	1563
736	4365	1557
737	4372	1552
738	4378	1546
739	4383	1540
740	4388	1534
741	4394	1528
742	4400	1522
743	4406	1516
744	4411	1509
745	4417	1503
746	4422	1497
747	4428	1491
748	4433	1485
749	4438	1479
750	4443	1473
751	4449	1467
752	4455	1461
753	4460	1455
754	4466	1449
755	4472	1443
756	4478	1437
757	4483	1431
758	4489	1425
759	4495	1419
760	4500	1413
761	4506	1407
762	4512	1401
763	4518	1395
764	4524	1389
765	4529	1383
766	4534	1377
767	4539	1371
768	4545	1365
769	4550	1359
770	4557	1353
771	4576	1351
772	4583	1345
773	4589	1340
774	4595	1334
775	4602	1328
776	4608	1322
777	4613	1316
778	4619	1310
779	4625	1304
780	4630	1298
781	4636	1292
782	4642	1286
783	4648	1280
784	4655	1274
785	4659	1268
786	4665	1262
787	4671	1256
788	4676	1250
789	4682	1244
790	4688	1238
791	4694	1232
792	4699	1226
793	4705	1220
794	4711	1214
795	4716	1208
796	4723	1203
797	4729	1197
798	4735	1191
799	4740	1185
800	4745	1179
801	4750	1172
802	4754	1166
803	4759	1160
804	4765	1154
805	4771	1148
806	4777	1142
807	4783	1136
808	4789	1130
809	4794	1124
810	4800	1118
811	4804	1112
812	4810	1106
813	4815	1100
814	4821	1094
815	4827	1088
816	4833	1082
817	4838	1076
818	4844	1070
819	4850	1064
820	4856	1058
821	4862	1052
822	4867	1046
823	4873	1040
824	4879	1035
825	4885	1029
826	4894	1023
827	4899	1017
828	4904	1011
829	4910	1005
830	4916	999
831	4922	993
832	4928	988
833	4934	982
834	4940	976
835	4946	970
836	4952	964
837	4958	958
838	4964	952
839	4969	946
840	4974	940
841	4980	934
842	4985	928
843	4991	922
844	4996	916
845	5002	910
846	5008	904
847	5013	898
848	5019	892
849	5025	886
850	5031	880
851	5037	875
852	5042	869
853	5048	863
854	5054	857
855	5059	851
856	5065	845
857	5071	839
858	5076	833
859	5082	827
860	5088	821
861	5092	815
862	5098	809
863	5104	803
864	5109	797
865	5115	791
866	5120	785
867	5126	779
868	5132	773
869	5137	767
870	5142	761
871	5147	755
872	5153	749
873	5159	743
874	5165	737
875	5171	732
876	5177	726
877	5181	720
878	5187	714
879	5193	708
880	5199	702
881	5204	696
882	5210	690
883	5215	684
884	5221	678
885	5226	672
886	5232	666
887	5238	660
888	5245	654
889	5250	648
890	5256	643
891	5261	637
892	5267	631
893	5273	625
894	5278	619
895	5284	613
896	5289	607
897	5295	601
898	5301	595
899	5306	589
900	5311	583
901	5317	577
902	5323	571
903	5330	566
904	5334	559
905	5340	554
906	5345	548
907	5350	542
908	5356	536
909	5361	530
910	5367	524
911	5373	518
912	5379	512
913	5385	506
914	5391	500
915	5396	494
916	5402	488
917	5408	483
918	5414	477
919	5420	471
920	5426	465
921	5432	459
922	5438	453
923	5443	447
924	5451	441
925	5460	436
926	5466	430
927	5471	424
928	5477	418
929	5482	412
930	5487	406
931	5493	400
932	5500	394
933	5505	389
934	5511	383
935	5517	377
936	5522	371
